"","Title","Author_URL","Author_Name","App_Version","Rating","Review","Date"
"19","not bad but its crashing","https://itunes.apple.com/ae/reviews/id211464979","k_2006","3.0","3","it was better in the previous version, now its crashing while making payment!",2014-05-31 10:35:14
"20","Bagadim","https://itunes.apple.com/ae/reviews/id314013815","BAGADEAM","3.0","2","It doesn't work at all now since i update  my app, please check and fix this problem",2014-05-31 04:49:34
"21","Mr.","https://itunes.apple.com/ae/reviews/id253973639","Jmsteakout","2.1","1","The amount does not give the correct value. I have a credit balance that shows debit.",2013-05-09 07:44:58
"22","Breeze...","https://itunes.apple.com/ae/reviews/id117518687","Guna ram","2.1","5","Cool Breeze.......in the hot desert. .....",2013-03-01 07:40:49
"23","Simple and great app","https://itunes.apple.com/ae/reviews/id183364438","hilluzz","1.1","5","Good work.",2012-07-30 21:31:29
"24","<U+064A><U+0633><U+062A><U+0623><U+0647><U+0644> <U+0648><U+0627><U+0644><U+0649> <U+0627><U+0644><U+0627><U+0645><U+0627><U+0645> : )","https://itunes.apple.com/ae/reviews/id261939532","<U+0648><U+0644><U+062F> <U+0644><U+0648><U+062A><U+0627><U+0647>","1.0","5","<U+062A><U+0637><U+0628><U+064A><U+0642> <U+0645><U+062A><U+0639><U+0648><U+0628> <U+0639><U+0644><U+064A><U+0647> <U+0648><U+064A><U+0633><U+062A><U+062D><U+0642> <U+0627><U+0644><U+062A><U+0642><U+062F><U+064A><U+0631><U+060C> <U+0648><U+0628><U+0627><U+0644><U+0623><U+0645><U+0627><U+0646><U+0629> <U+0623><U+0646><U+0635><U+062D><U+0643><U+0645> <U+062A><U+0646><U+0632><U+0644><U+0648><U+0646> <U+062A><U+0637><U+0628><U+064A><U+0642> <U+0623><U+0633><U+0645><U+0647> Dealz  <U+0645><U+0646> <U+0627><U+0644><U+0627><U+0628> <U+0633><U+062A><U+0648><U+0631> <U+062D><U+0642> <U+0627><U+0644><U+0627><U+064A><U+0641><U+0648><U+0646> <U+0648><U+0627><U+0644><U+0627><U+064A> <U+0628><U+0627><U+062F> <U+062D><U+0642> <U+0627><U+0644><U+0623><U+0645><U+0627><U+0631><U+0627><U+062A> <U+0648><U+0647><U+0648> <U+0645><U+062B><U+0644> <U+0627><U+0644><U+0648><U+0633><U+064A><U+0637> <U+0627><U+0648> <U+062F><U+0648><U+0628><U+0632><U+064A><U+0644>
<U+0648><U+0647><U+0648> <U+0645><U+062C><U+0627><U+0646><U+064A> <U+0641><U+064A> <U+062A><U+0646><U+0632><U+064A><U+0644><U+0647> <U+0648><U+0646><U+0634><U+0631> <U+0627><U+0639><U+0644><U+0627><U+0646><U+0627><U+062A> <U+0641><U+064A> <U+0627><U+0643><U+062B><U+0631> <U+0645><U+0646> <U+0661><U+0665> <U+062A><U+0635><U+0646><U+064A><U+0641>.",2012-07-26 20:11:41
"25","Breeze Rocks!!","https://itunes.apple.com/ae/reviews/id193890041","Naydinz","1.0","5","Congrats to SCB for such an amazing App. It really makes Banking a joy.",2012-07-20 07:04:11
"26","Excellent","https://itunes.apple.com/ae/reviews/id253116790","Chochitas123","1.0","5","I love it easy and cool mobile banking app",2012-07-19 20:03:19
"27","Breeze UAE","https://itunes.apple.com/ae/reviews/id140712167","Asanjeliwala","1.0","5","Excellent app I feel people will buy iPhones to use one breeze works excellent",2012-07-19 17:21:13
"28","Best bank app","https://itunes.apple.com/ae/reviews/id236184247","Hamza abdallah","1.0","5","Best",2012-07-19 08:55:55
"29","Finally!!!","https://itunes.apple.com/ae/reviews/id181679732","Xidioda","1.0","5","Been waiting since 2010 - worth! Works perfectly! SCB - the best!",2012-07-19 07:12:56
"30","Review","https://itunes.apple.com/ae/reviews/id254802961","Not your business scb","1.0","5","It take all that time and really nothing
And didn't accept 1 star only 4 which show how fake it is",2012-07-19 04:40:19
"31","Excellent","https://itunes.apple.com/ae/reviews/id240619785","ImmuA","1.0","5","The best app for banking. Keep up the good work SCB",2012-07-19 04:27:19
"32","<f0><U+009F><U+0091><U+008D>","https://itunes.apple.com/ae/reviews/id194329369","Mac Moreira","1.0","5","Amazing! Thank you SCB",2012-07-18 15:52:27
"33","Great application!","https://itunes.apple.com/ae/reviews/id195783854","Marlon Sawaya","1.0","5","Great application, very user friendly",2012-07-18 07:29:12
"34","Great App","https://itunes.apple.com/ae/reviews/id262669057","NehaHa","1.0","5","Great App! Very user friendly!",2012-07-16 07:57:59
"35","A great way to bank!!","https://itunes.apple.com/ae/reviews/id138749965","Kin08","1.0","5","No more trips to the branch or having your utilities cut off coz you didn't have the time to log in to make the payment. Banking the SCB way:-)",2012-07-10 20:13:45
"36","Exllt!!!","https://itunes.apple.com/ae/reviews/id261325969","Muraleedhar Nair","1.0","5","Excellent app compared to any other banking app in uae",2012-07-09 20:39:57
"37","Breez it","https://itunes.apple.com/ae/reviews/id167080415","Emad Musleh","1.0","5","Innovative banking?? Try breez

It's easy !!! It's breez",2012-07-06 23:11:03
"38",":D","https://itunes.apple.com/ae/reviews/id49202801","fk1437","1.0","5","Finally it's here really really kool and very well designed excellent ease of use.",2012-07-05 09:57:23
"39","Can't get better than this!","https://itunes.apple.com/ae/reviews/id260338463","D. Ashar","1.0","5","Wow, this has just brought so much convenience into our lives! Never need to stress about 'remembering to log on later' and pay those bills! Thank you Standard Chartered Breeze! :)",2012-07-05 06:44:44
"40","Review","https://itunes.apple.com/ae/reviews/id260055277","Motasem Duweik","1.0","5","Excellent interface and user friendly. It's a very convenient and easy way to bank.",2012-07-03 23:05:53
"41","Very Easy To Use!","https://itunes.apple.com/ae/reviews/id206605786","K. Shenouda","1.0","5","You should try it and the design looks cool too...",2012-07-03 14:28:12
"42","Great App!","https://itunes.apple.com/ae/reviews/id180409647","S.Mahfouz","1.0","5","Very comprehensive display of info, and user friendly; well done!",2012-07-03 13:10:51
"43","Awesome!","https://itunes.apple.com/ae/reviews/id259693617","N Rolla","1.0","5","This is a fantastic app. Very easy to use, well thought out and allows me to transact on the move. Well done StanChart!",2012-07-02 08:23:18
"44","Truly wonderful banking experience","https://itunes.apple.com/ae/reviews/id209466989","S. A. Haider","1.0","5","It's the best source to look at and manage my financials. Seeing all my transactions across various accounts and products on a timeline was an amazing experience.

Also just paid my Salik bill through it. Don't think I'll be using any other service now...",2012-06-30 10:56:51
