"Title","Author_URL","Author_Name","App_Version","Rating","Review","Date"
"Unbelievably poor app","https://itunes.apple.com/hk/reviews/id105247022","Irish Scrum","5.4.2","1","Hate this new app. Wondered how much resource you spent on this app. Absolutely poor job. After so called new upgraded, the app crashes all the time, stuck, timeout, lots of bugs.......why dont you hire a few IT guys from the Red coloured bank. You guys are year behind them.",2018-10-02 16:05:04
"System error 3000","https://itunes.apple.com/hk/reviews/id311811980","FPS user","5.4.2","1","The transfer function at SC Pay is not working. It displays a prompt with error code 3000.",2018-10-02 12:47:57
"垃圾！！！offline pin，哪里有","https://itunes.apple.com/hk/reviews/id470893339","山山水水0000","5.4.2","1","垃圾，offline pin在哪里",2018-10-02 05:59:02
"The newly updated version is not working at all","https://itunes.apple.com/hk/reviews/id189681619","Wilsontsui03","5.4.2","1","The newly updated version is not working at all. Can anyone fix it ASAP",2018-10-02 05:33:45
"簡述不能中文輸入","https://itunes.apple.com/hk/reviews/id115222850","- 無名","5.4.2","1","更新Apps後，在本地轉賬時，簡述一攔不能中文輸入？",2018-10-02 03:25:53
"iphone xs max","https://itunes.apple.com/hk/reviews/id128276389","Meowmon","5.4.2","1","Cannot use face id to login
nothing happen even I saw there is a tick of face id",2018-10-01 11:02:04
"Register FaceID after every upgrade","https://itunes.apple.com/hk/reviews/id36220","bb ho","5.4.2","1","Cant believe it.. why need to unregister & Register FaceID after every upgrade ? I dont need this for other banking apps.

Pls pls pls.. improve it before next release it? Poor customer experience..",2018-10-01 10:25:05
"SC Pay","https://itunes.apple.com/hk/reviews/id48785159","sfxcmichael","5.4.2","2","Other bank can have proxy ID for transfer, but SC can’t it only can use either mobile nor email to register for FPS, recommend to improve",2018-09-30 12:02:52
"The Worst Banking Apps I had been Used","https://itunes.apple.com/hk/reviews/id912939531","7899631","5.4.1","1","I can’t login again after remove and re-install the apps, the apps just told me to call the hotline which always busy and no one answers, it is the worst banking apps I had been used.",2018-09-30 09:18:26
"勁廢！","https://itunes.apple.com/hk/reviews/id146565412","ChuloChula","5.4.1","1","見到平均評分得兩粒星已心知不妙。登入之後要人登記SC Mobile Key，否則什麼都做不了。既然如此，就不要登記失敗啦！！！咁同冇服務提供有乜分別？呢度咁多劣評，即係渣打冇人睇評語，究竟係邊個門派嘅管理法？！",2018-09-30 08:32:55
"Bugs in SC Pay","https://itunes.apple.com/hk/reviews/id126886934","Aloha Sofia","5.4.1","1","No keyboard popping up in recipient inputs interface",2018-09-30 07:47:07
"hi hiu","https://itunes.apple.com/hk/reviews/id742736238","sc lily","5.4.1","1","always lag and crash",2018-09-30 07:06:18
"Useless","https://itunes.apple.com/hk/reviews/id145834143","Steven ♈️","5.4.1","1","The slowness doesn’t improve with slightly updated UI.
FPS transfer page has a problem that I cannot wake the keyboard to input any number.",2018-09-30 01:32:16
"Stuck in the launching page","https://itunes.apple.com/hk/reviews/id110787407","3 customer","5.4.1","1","Even more ridiculous is your online banking requiring me to log onto my mobile app to log in. Now I can’t access my account ANYWHERE other than calling u guys to ask how much I should pay because I’ve registered for estatement. This is disgusting. I won’t use your bank ever again. There are tons of credit cards out there to choose from.",2018-09-29 07:56:35
"Not functioning well...","https://itunes.apple.com/hk/reviews/id131876576","trevorbell","5.4.1","1","Touch ID no longer available after upgrade, money transfer in between bank acc is unavailable...it is a real DOWNgrade",2018-09-26 13:17:53
"SC Pay","https://itunes.apple.com/hk/reviews/id151394224","Williamkwchan","5.4.1","1","Why I can only use the so-called Default Proxy to send money to other?

Why I need to enter OTP to view the account associated with the Proxy?

And when entering the digit PIN under SC Pay setting, the digits were remain visible for way too long.  Now I need to cover the screen whenever I need to enter the mobile PIN. Very inconvenient and annoying. 😡",2018-09-26 08:57:12
"Disappointed","https://itunes.apple.com/hk/reviews/id42542596","Stephen Chow","5.4.1","1","This so called revamp app is completely a rubbish.  Face ID function cannot be used.  The company would like to improve the UI and UX but very difficult to use.  Very disappointed.",2018-09-25 13:09:27
"Cannot use faceid","https://itunes.apple.com/hk/reviews/id152469519","Kwongman","5.4.1","1","Rubbish",2018-09-25 11:39:23
"rubbish","https://itunes.apple.com/hk/reviews/id157683817","Guby Lai","5.4.1","1","rubbish",2018-09-25 06:10:11
"Crash on new iphone","https://itunes.apple.com/hk/reviews/id197101002","Tezce","5.4.1","2","As title",2018-09-25 05:30:19
"Can’t open the app by using iPhone XS Max","https://itunes.apple.com/hk/reviews/id910278212","Chan SY","5.4.1","1","Why can’t open?
Tried to remove the app, and install again, but still can’t open",2018-09-25 04:56:56
"Cannot open this apps","https://itunes.apple.com/hk/reviews/id264322330","iphone uesr","5.4.1","1","Cannot support iPhone XS Max",2018-09-25 04:32:39
"更新了IOS12","https://itunes.apple.com/hk/reviews/id225745251","11134678900","5.4.1","1","更新了IOS12，個APP一開即彈走，網上理財login需要手機APP的認證才能運作，現在什麼都不能做！已經好幾天了，幾時才可以更新APP？",2018-09-25 03:39:04
"App似乎未完全寫好","https://itunes.apple.com/hk/reviews/id427079460","林伯特","5.4.1","1","如題",2018-09-25 03:28:43
"彈app","https://itunes.apple.com/hk/reviews/id111718179","Mannnbb","5.4.1","1","iPhone Xs max彈app
完全用唔到",2018-09-25 02:18:46
"更新後可以登入到，但用唔到 FaceID","https://itunes.apple.com/hk/reviews/id166979883","Wakan_Yu","5.4.1","1","如題，iPhone XS Max 用戶",2018-09-25 00:54:54
"It’s not working on iPhone Xs...","https://itunes.apple.com/hk/reviews/id168663547","Just cahnged to iPhone Xs","5.4.0","1","It’s not working on iPhone Xs, suddenly quit when I open the app, is let it just updated?!",2018-09-24 17:10:34
"Can’t open it!","https://itunes.apple.com/hk/reviews/id179909845","mainelin","5.4.0","1","I can’t open it with the new iOS
Please quickly fix the problem!",2018-09-24 15:16:37
"Garbage","https://itunes.apple.com/hk/reviews/id378774052","Neo_ccy","5.4.0","1","Don’t install the app it will force you to enable mobile security key but this app alway force to close after update which also cause you can’t login via web 

Second time cause me can’t login to online banking in the same month",2018-09-24 15:08:38
"Not support IPHONE XS Max","https://itunes.apple.com/hk/reviews/id86045807","cks1238","5.4.0","1","Cannot use",2018-09-24 14:18:25
"iPhone XS Max can’t use this app","https://itunes.apple.com/hk/reviews/id150091221","laawwk","5.4.0","1","iPhone XS Max can’t use this app, pls follow",2018-09-24 14:04:18
"iPhone xs 及max 彈app","https://itunes.apple.com/hk/reviews/id439652556","fsc999","5.4.0","1","彈app",2018-09-24 13:17:55
"SC Mobile App does not support the new iPhone XS Max","https://itunes.apple.com/hk/reviews/id427070705","WallyLau","5.4.0","1","SC Mobile App does not support the new iPhone XS Max.  When the time intends to open the App, it is quitted.",2018-09-24 11:56:11
"Unable to use in iPhone X’s","https://itunes.apple.com/hk/reviews/id132717791","9137775406432","5.4.0","1","It cannot use when I upgrade the iPhone to iPhone Xs, please rectify ASAP.",2018-09-24 11:32:24
"Cannot run on iPhone Xs","https://itunes.apple.com/hk/reviews/id139369750","Charlesisnice","5.4.0","1","this app cannot run on iPhone Xs. Thus I can't login my account even on web. seriously affect my use.",2018-09-24 11:14:45
"用唔到！","https://itunes.apple.com/hk/reviews/id124490557","iphone 用唔到","5.4.0","1","新iPhone 用唔到個app！",2018-09-24 11:04:46
"iPhone Xs max can’t use","https://itunes.apple.com/hk/reviews/id500833388","bfgkaho","5.4.0","1","彈apps",2018-09-24 10:55:06
"Keep crashing when open the app","https://itunes.apple.com/hk/reviews/id276198042","kirkendoa","5.4.0","1","This app keep crashing when I tried to open it by using FACE ID on my iPhone XS. Please fix it immediately. Thanks!",2018-09-24 10:43:23
"Can’t launch","https://itunes.apple.com/hk/reviews/id752894950","lthl102","5.4.0","1","Can’t use on iPhone XS despite update",2018-09-24 10:29:43
"Can’t open in iPhone Xs Max","https://itunes.apple.com/hk/reviews/id102814746","rhdbdidb","5.4.0","1","Pop out even after reboot.",2018-09-24 10:25:26
"Cannot open on iphone XS Max","https://itunes.apple.com/hk/reviews/id420610715","kylauac","5.4.0","1","Please fix!",2018-09-24 10:13:39
"Can’t open","https://itunes.apple.com/hk/reviews/id105271432","懷恩","5.4.0","1","I Phone XS MAX can’t open . Please fix it ASAP",2018-09-24 09:43:05
"用XS Max，狂彈App","https://itunes.apple.com/hk/reviews/id103807299","Lucifer Lilith","5.4.0","1","用XSMax 完全用唔到個App，一開就彈。
Tried launching the app with iOS 12 on XS Max and never succeeded. The app just force-shut the moment I click on the icon.",2018-09-24 09:06:47
"Keeps crashing on XS Max","https://itunes.apple.com/hk/reviews/id417583089","Pewpew23","5.4.0","1","Please fix ASAP.",2018-09-24 09:04:01
"iphone xs 彈app，入唔到去","https://itunes.apple.com/hk/reviews/id720844102","evonnelove","5.4.0","3","請幫忙",2018-09-24 08:48:51
"iPhone Xs無法使用","https://itunes.apple.com/hk/reviews/id318194305","forestchung","5.4.0","1","一禁入apps就彈apps 更新左都係咁
可唔可以快d整番好佢",2018-09-24 08:33:39
"not work on IOS 12","https://itunes.apple.com/hk/reviews/id154474163","牛同學","5.4.0","2","cannot open, pls update",2018-09-24 07:48:36
"Not working on iOS 12 XS","https://itunes.apple.com/hk/reviews/id100836405","Noktechno","5.4.0","1","Just crashes out on startup",2018-09-24 07:48:06
"Crash after updates 24/9/2018","https://itunes.apple.com/hk/reviews/id150519650","Ricky2010mac","5.4.0","1","Still crash, iPhone xs",2018-09-24 07:01:35
"update and can’t use anymore","https://itunes.apple.com/hk/reviews/id175527796","Fatkwong14","5.4.0","1","update to iphone xs, can’t open the app",2018-09-24 07:00:51
"iPhone Xs Max 彈app","https://itunes.apple.com/hk/reviews/id71022548","andrewli1022","5.4.0","1","啱啱更新完都係彈app",2018-09-24 06:49:06
"Can’t launch on iPhoneXS Max!!!","https://itunes.apple.com/hk/reviews/id102293686","June 6 2018","5.4.0","1","Fix it ASAP!!!!!!!!",2018-09-24 06:04:47
"其實對渣打幾失望","https://itunes.apple.com/hk/reviews/id140103448","JohnnyGames","5.4.0","1","上次更新後用不到Face ID
今次不幾彈APP

一間發鈔銀行都唔搞好，叫客戶點支持？",2018-09-24 06:04:00
"I cannot use this app in iPhone Xs Max","https://itunes.apple.com/hk/reviews/id149034902","EggiPad","5.4.0","1","I cannot use this app in iPhone Xs Max",2018-09-24 04:56:05
"Xs Max彈app","https://itunes.apple.com/hk/reviews/id442903806","rttfvvvhhhhhhhhhj","5.4.0","1","抄哂啲垃圾IT DOG佢啦",2018-09-24 04:39:39
"Worse financial bank APP","https://itunes.apple.com/hk/reviews/id123791705","yu.gary","5.4.0","1","This has got to be a joke, the APP doesn’t work with iPhone X. It’s frustrating because logging in online makes you pair back up to your APP. SC has a lot to learn from the Chase bank or any US bank APPs.",2018-09-24 04:06:50
"Issue of iOS and device compatibility","https://itunes.apple.com/hk/reviews/id264913436","Chris YC Lau","5.4.0","1","Unable to access by XS Max iOS 12",2018-09-24 03:33:51
"iPhone Xs 彈app","https://itunes.apple.com/hk/reviews/id122288531","Nixon Ng","5.4.0","1","未換電話之前彈app
以為整好左
換左新iphone xs 又再彈過
點搞呀",2018-09-24 03:10:38
"Unable to open in iPhone XS Max","https://itunes.apple.com/hk/reviews/id18515717","hkniceman","5.4.0","1","And would you mind fix it ASAP? Even I cannot use computer browser to login because you ask me to get the login key from the apps!",2018-09-24 02:50:05
"not work in xs","https://itunes.apple.com/hk/reviews/id170913742","Chings228","5.4.0","1","even re download the program",2018-09-24 02:45:38
"Cannot use in IPhone XS Max?","https://itunes.apple.com/hk/reviews/id359585103","Hong Kong user abcde","5.4.0","1","Not able to run. Still not works!!!!!!",2018-09-24 02:27:24
"iPhone XS Max 彈app","https://itunes.apple.com/hk/reviews/id147263896","JerryTcm","5.4.0","1","不停彈App，不能用呢？更新了嗎？",2018-09-24 02:24:32
"Cannot support","https://itunes.apple.com/hk/reviews/id166055065","marcoshiu007","5.4.0","3","Cannot support the new i phone Xs max",2018-09-24 02:12:12
"iPhone XS max 彈app","https://itunes.apple.com/hk/reviews/id110737035","Roy11611","5.4.0","3","Please fix it",2018-09-24 01:02:32
"iPhone X’s MAX用唔到","https://itunes.apple.com/hk/reviews/id86407889","pitt tong","5.4.0","1","彈APP！ 對手銀行APP Update左啦！",2018-09-24 01:00:37
"ios 12 can’t open the app","https://itunes.apple.com/hk/reviews/id243349483","samsam_1717","5.4.0","1","iPhone XS can’t open",2018-09-24 00:40:30
"Can’t even launch the app","https://itunes.apple.com/hk/reviews/id85570135","wtchyorbak","5.4.0","1","I can’t launch the app, and the online version request me to key in the code. Now I totally lose my access to my online account!",2018-09-23 23:44:04
"彈app","https://itunes.apple.com/hk/reviews/id178863514","Carmen628","5.4.0","1","更新app後完全用唔到，一開即彈app",2018-09-23 23:19:37
"彈app","https://itunes.apple.com/hk/reviews/id247370049","xxyy0101","5.4.0","2","iPhone Xs 彈app， 開唔到",2018-09-23 22:58:04
"Keep being kicked out of the app after upgrading phone to iPhone Xs max!","https://itunes.apple.com/hk/reviews/id548325086","atam1984","5.4.0","1","Keep being kicked out of the app after upgrading phone to iPhone Xs max!",2018-09-23 21:31:33
"iphone xs max用唔到","https://itunes.apple.com/hk/reviews/id227885994","黃精","5.4.0","1","更新完都彈app",2018-09-23 19:41:21
"Can’t use on the apple xs max","https://itunes.apple.com/hk/reviews/id459122424","camby850","5.4.0","1","Can not operated on the apple xs max. Don’t know due to model or IOS 12.",2018-09-23 19:18:41
"iPhone XS Max 不能用","https://itunes.apple.com/hk/reviews/id181492173","跳九里","5.4.0","3","彈App! 請盡快處理",2018-09-23 19:10:12
"Xs Max 不斷彈app","https://itunes.apple.com/hk/reviews/id146972432","BobbySmartie","5.4.0","1","不斷彈app",2018-09-23 18:55:45
"I can’t open this app iOS 12.","https://itunes.apple.com/hk/reviews/id115048707","Muscular Roidgut","5.4.0","1","Please fix thx!",2018-09-23 17:39:54
"Can’t open this app at iPhone Xs Max","https://itunes.apple.com/hk/reviews/id793599451","Winson Hui","5.4.0","1","I cannot open this app with my new iPhone Xs Max. Forced exit and can’t even see the login page.",2018-09-23 17:29:57
"Not working on iPhone XS Max","https://itunes.apple.com/hk/reviews/id149398314","Hiuyannnnnnnn","5.4.0","1","After changing my phone to iPhone XS Max, the app crashes every time I open it. Please fix it ASAP.",2018-09-23 17:18:30
"彈app","https://itunes.apple.com/hk/reviews/id42110674","On 99","5.4.0","2","Iphone XSMAX 彈app, please fix it.",2018-09-23 16:43:12
"彈app","https://itunes.apple.com/hk/reviews/id112496784","Lokgu","5.4.0","1","彈app 快修正 ios12",2018-09-23 16:03:48
"Not work in iPhone XS Max","https://itunes.apple.com/hk/reviews/id232387353","Gabriel Tang ( HKG)","5.4.0","1","Cannot use in iPhone XS Max",2018-09-23 15:38:08
"Can’t use on iPhone Xs ?","https://itunes.apple.com/hk/reviews/id560123148","alienalen","5.4.0","3","Try to open the app but not success",2018-09-23 15:00:27
"App still doesn't work on iPhone Xs despite last update","https://itunes.apple.com/hk/reviews/id194157421","KBlake12","5.4.0","1","App doesn't work on iPhone XS running ios12. 

Just beware. Crashes straight away.",2018-09-23 14:44:50
"Not opening on Xs","https://itunes.apple.com/hk/reviews/id159500977","JacS dude","5.4.0","3","App cannot open on Xs. It immediately closes.",2018-09-23 14:42:27
"One of the worst banking app in the world.","https://itunes.apple.com/hk/reviews/id471042513","wLEKIN","5.4.0","1","Cannot even launch the app on XS MAX.",2018-09-23 14:32:06
"Can never login","https://itunes.apple.com/hk/reviews/id144861365","ecchoi","5.4.0","1","I had registered my phone for like a million times for face detection, and every time I try to login, it asks me to register AGAIN! Wasting my time!!!",2018-09-23 14:21:00
"彈app","https://itunes.apple.com/hk/reviews/id248705039","A2577","5.4.0","1","開不了，彈app...",2018-09-23 14:08:54
"不能用","https://itunes.apple.com/hk/reviews/id152103461","apple iphone xs max","5.4.0","5","iphone xa max 不能做用app 希望盡快更新。thx",2018-09-23 13:58:58
"XS MAX 彈apps","https://itunes.apple.com/hk/reviews/id145060840","Anthonysw2015","5.4.0","1","剛有更新嗰app 都仲彈apps!",2018-09-23 13:56:55
"Iphone xs max 彈app","https://itunes.apple.com/hk/reviews/id221887211","Smith lo","5.4.0","1","更新後都係不到。彈app",2018-09-23 11:39:45
"iPhone X max can’t use","https://itunes.apple.com/hk/reviews/id360036338","terrychan papa","5.4.0","1","iPhone X max can’t use , please fix ASAP 😡",2018-09-23 11:28:30
"Can’t open!","https://itunes.apple.com/hk/reviews/id282214411","Testing11234","5.4.0","1","Please check your app!",2018-09-23 11:23:59
"Bad version","https://itunes.apple.com/hk/reviews/id146975287","Wong yee shing","5.4.0","1","Latest version cannot be opened in iOS 12. Can’t do any transaction.  👎",2018-09-23 11:17:37
"App crush in iPhone","https://itunes.apple.com/hk/reviews/id157805539","Popppppyyyyyaaaa","5.4.0","1","App crush in iPhone XS Max at IOS 12",2018-09-23 10:10:16
"5.4.0 still crash on the IPhone XS Max when starting","https://itunes.apple.com/hk/reviews/id192235963","ANL67","5.4.0","1","5.4.0 still crash on the IPhone XS Max when starting, period.",2018-09-23 09:55:27
"閃退","https://itunes.apple.com/hk/reviews/id909492211","JackXYKF","5.4.0","1","XS max 閃退",2018-09-23 09:54:05
"彈app","https://itunes.apple.com/hk/reviews/id145350243","Jacky@wong","5.4.0","1","IPHONE XS Max 一開就彈app",2018-09-23 09:27:51
"IPHONE XS MAX UNBELIEVABLY WORKS","https://itunes.apple.com/hk/reviews/id909481532","well901","5.4.0","1","iphone xs max cannot open sc app. Please fix it immediately",2018-09-23 09:27:47
"Force quit.","https://itunes.apple.com/hk/reviews/id291377742","Micheal Suen","5.4.0","1","Doesn't work on iPhone xs max iOS 12 even after the update this morning. Works perfectly on iPhone 7 with iOS 12.",2018-09-23 09:15:00
"iPhone XS Max not support","https://itunes.apple.com/hk/reviews/id101594340","Victor.Lo","5.4.0","1","iPhone XS Max not support",2018-09-23 08:42:06
"😭","https://itunes.apple.com/hk/reviews/id299628326","Hfsfhuhehkjh","5.4.0","2","I cannot use the app after using iPhone Xs.
Can you fix it ASAP please",2018-09-23 08:24:53
"彈app","https://itunes.apple.com/hk/reviews/id151951580","Real Ikki","5.4.0","1","iphone Xs Max入app即彈！",2018-09-23 08:21:30
"Crash on iPhone XS Max","https://itunes.apple.com/hk/reviews/id289617220","twaiis","5.4.0","1","Fix it ASAP",2018-09-23 08:15:39
"Unable to use in iPhone XS so bad","https://itunes.apple.com/hk/reviews/id48777461","leung524816","5.4.0","1","So bad

Still unable to use, diu",2018-09-23 07:56:21
"Cannot use at XS Max","https://itunes.apple.com/hk/reviews/id130455452","rickykei312","5.4.0","1","彈app",2018-09-23 07:37:34
"App crashed","https://itunes.apple.com/hk/reviews/id127384924","barrykkli","5.4.0","1","The app crashed on iPhone Xs.  Need update.",2018-09-23 07:33:46
"Failed to launch at iPhone XS MAX","https://itunes.apple.com/hk/reviews/id189697293","User 1212","5.4.0","1","As titled.",2018-09-23 07:28:51
"Iphone Xs Max用唔到","https://itunes.apple.com/hk/reviews/id156541021","EXTRA_HC","5.4.0","1","如上",2018-09-23 07:05:48
"cannot open the app on ios 12","https://itunes.apple.com/hk/reviews/id110670148","kjai","5.4.0","1","please provide update",2018-09-23 07:01:01
"Can’t use on iPhone Xs","https://itunes.apple.com/hk/reviews/id86910369","Aryanwong","5.4.0","1","Can’t use on ios12, please fix it",2018-09-23 06:53:10
"iPhone Xs max","https://itunes.apple.com/hk/reviews/id449556948","Otis wan","5.4.0","1","Totally not support on iPhone 10s max.",2018-09-23 06:36:52
"not friendly with Xs Max","https://itunes.apple.com/hk/reviews/id85256503","gallous99","5.4.0","1","I wonder still not working after installed the latest version",2018-09-23 06:35:46
"Can’t use on the new iPhone XS Max","https://itunes.apple.com/hk/reviews/id148151510","GinJeff","5.4.0","1","Can’t even open the app. Disappointed as thought it will work after update. Poor IT development.",2018-09-23 06:34:48
"Crashes on iPhone XS max","https://itunes.apple.com/hk/reviews/id42094727","Peter Edmoud","5.4.0","1","Very disappointed. Tried to reinstall a couple of times and it still crashes at the launch.",2018-09-23 06:26:08
"iPhone Xs Max 開啟即彈 App","https://itunes.apple.com/hk/reviews/id127876514","Terrence0730","5.4.0","3","請處理",2018-09-23 06:24:27
"彈app","https://itunes.apple.com/hk/reviews/id252842966","fgbfdbifc","5.4.0","1","Not support iPhone Xs max
不停彈app",2018-09-23 06:22:25
"cant log in!!","https://itunes.apple.com/hk/reviews/id179023548","nat0411","5.4.0","1","use xs max ios12 cant log in !!!!",2018-09-23 06:03:18
"Not supporting iPhone XS Max","https://itunes.apple.com/hk/reviews/id200184340","Kosei Y","5.4.0","1","Still not working on yesterday’s update!",2018-09-23 05:25:58
"Not working on XS Max","https://itunes.apple.com/hk/reviews/id288894861","Tom83412","5.4.0","4","App force close instantly on launch. Behaviour persist after reboot and re-installation of app.",2018-09-23 04:59:57
