"Title","Author_URL","Author_Name","App_Version","Rating","Review","Date"
"Updation Necessity","https://itunes.apple.com/in/reviews/id593258272","Gowtham_robin","5.0.3","2","New updation in app which is good.

Better service check with other bank apps e.g.:axis bank apps, Vijaya bank apps 
So that you can give the best service on mobile banking.
But now it’s looking like a net banking on mobile.
By improving you can meet the user friendly app for the users.",2018-07-11 11:37:42
"Issues in Touch ID","https://itunes.apple.com/in/reviews/id768074376","sl2907","5.0.3","3","Touch ID is not working",2018-07-09 07:56:38
"What a background...just uninstalled","https://itunes.apple.com/in/reviews/id426753574","Skthilak","5.0.3","1","App support:- Invalid URL

The requested URL ""[no URL]"", is invalid.
Reference #9.98027073.1531063628.20817868",2018-07-08 16:29:05
"Mind Blowing!","https://itunes.apple.com/in/reviews/id564731666","Y.SANTOSH'","5.0.3","5","I always felt in the past that Stan Chart’s mobile app just fell short of my expectations.. But the Latest Updtae is not is the Best Version it ever had but easily I feel leaves all the banking apps.. I use 10 banking apps but none seemed as impressive as this one..

A Big Thumbs Up!!",2018-07-08 13:30:05
"Awesome","https://itunes.apple.com/in/reviews/id457246435","Abdul Malik Aman","5.0.3","5","Really happy with new interface and features..
Expecting next levels highly.. 😊👍",2018-07-06 07:52:46
"Update made it slow","https://itunes.apple.com/in/reviews/id825956241","Dragonfly9088","5.0.3","3","I really love the look of the new app but it is extremely slow now. It takes time to load every single page.",2018-07-03 18:43:46
"Great banking app","https://itunes.apple.com/in/reviews/id101883321","RahulSaha","5.0.3","5","The new update actually made me come here and review it. The dynamic wallpaper is a stunning addition to the app. Makes it beautiful and different. The app itself is very good because you can add payees or delete them without having to login to your online banking on your laptop. The debit and credit information are very neat as compared to other bank apps like citibank. Good job guys! Keep it up!",2018-07-01 11:56:02
"App doesn’t even work","https://itunes.apple.com/in/reviews/id573178109","jbvin6","5.0.3","4","You can’t even login. It says temporary out of service",2018-06-29 19:48:09
"Awesome exterior , sore interior","https://itunes.apple.com/in/reviews/id471249015","PaVaNRed","5.0.3","3","Last time I wrote the review , I had mentioned how bad the app features were and that other local banks had better apps. 

Now with this update , they have increased the oomph factor but still app needs better packaging. Still face the issue with OTP entering and once you enter the app, same old problems exist. 

Better spend on required things rather than painting the exteriors with colours.",2018-06-29 15:25:02
"Love the new update!","https://itunes.apple.com/in/reviews/id283557037","-=DeadLoCk=-","5.0.3","5","Starting with the user interface , it looks amazing! The app has got smoother and couple of new features like instant balance check. Which I think is necessary. 
5 stars *****",2018-06-29 08:00:52
"Nice Update !!","https://itunes.apple.com/in/reviews/id421423443","deesh2516","5.0.3","5","Finally a nice update in terms of UI and Functionality.
Some home we are saved from the login error.
General exception.
Way to go !!",2018-06-29 03:34:35
"App fails to login with Face ID","https://itunes.apple.com/in/reviews/id242578586","Maxphilip","5.0.3","1","Application fails to log us through Face ID keeps getting error message",2018-06-28 19:01:01
"Great update!","https://itunes.apple.com/in/reviews/id451583070","Ashwin Rajan","5.0.3","5","The new update takes the app to a different level! 

The look is neat, crisp and pleaaing. The basic functionality of the app, signing in, checking balances and other such functions are buttery smooth and easy to access. Once I have used the other functions, i'll know how good the app has become; but looking at how everything is so far, I am very happy! Kudos to the team!",2018-06-28 12:41:40
"Good app, Face ID missing though","https://itunes.apple.com/in/reviews/id437465993","djiablo","3.3.0","3","This is a good enough app for tracking your account/s, been using it for a long time. Touch ID was too convenient a feature on previous generations. Although addition of Face ID would be a great addition in the features list.",2018-05-02 21:51:10
"Face id open error in iphone x","https://itunes.apple.com/in/reviews/id349650076","Phne 4s","3.3.0","1","There is serious issue while opening the app with face id as well as by password 
Its just rolling and not able to open kindly do needful on urgent basis as its creating serious issue while transact",2018-05-01 13:17:36
"It’s not Breeze. It’s Bizarre...","https://itunes.apple.com/in/reviews/id453103881","Sudhansu@leadics","3.3.0","1","You guys should really work on this. The worst banking app I ever seen. No proper error msg no proper msg to user what is going on. Sometimes its login sometimes its showing 2154 error though I used correct user id and pwd. Some time its just loading.. it’s really bizarre.",2018-05-01 07:37:44
"Good app with options but time for upgrade","https://itunes.apple.com/in/reviews/id169230792","pdhakshinamoorthy","3.3.0","3","I like the usability of the app but it’s still old fashioned. The app can really take advantage of some ios native functionalities and please add support for iphoneX",2018-05-01 04:47:48
"Very worst UI","https://itunes.apple.com/in/reviews/id299527928","nonamefor review","3.2.9","1","The ui is not responding most of the time. You can’t even enter the amount some time.",2018-04-25 14:59:16
"Way too slow","https://itunes.apple.com/in/reviews/id507991911","Chhama","3.2.9","2","The app is slower than other mobile banking apps.",2018-04-25 08:02:01
"Display","https://itunes.apple.com/in/reviews/id766401499","raghusrini","3.2.8","1","It is not showing anything just loading loading loading, please let me know how to solve",2018-04-23 20:51:33
"UNABLE TO LOGIN VIA TOUCH ID","https://itunes.apple.com/in/reviews/id541988920","Ssingh1670","3.2.8","1","After latest update it is not allowing me to login via Touch ID. Please take this on priority and set this up ASAP Very irritating it is. 

And besides that when are you enabling your mobile/ debit or credit cards to Apple wallet unlike HDFC. They have enabled this quite sometime earlier whereas SC BANK is supposed to be more smarter I believe",2018-04-21 18:57:52
"Worst interface app","https://itunes.apple.com/in/reviews/id465450113","Smart RB","3.2.8","1","No update development,, what we paid we don’t know , what we have the balance don’t know,, worst experience ,,",2018-04-21 06:31:07
"No option to see reward points","https://itunes.apple.com/in/reviews/id498465509","muneesh chauhan","3.2.8","1","There is no option to check rewards points in app. Whenever I tried on web it always shows 360 rewards is temporary unavailable.",2018-04-18 04:46:40
"Customer","https://itunes.apple.com/in/reviews/id288130968","khanhirawasim","3.2.7","1","I don’t know why you people change user interface and add something extra there’s no option to check available credit card limit and the worst thing is payment update 
Usually bank update the payment at a time if I pay my credit card outstanding from same bank account but today I have spoken with your customer care and they said your payment will update 1 working day. 
Worst banking system from world’s leading Bank",2018-03-25 08:12:51
"iPhone X support","https://itunes.apple.com/in/reviews/id305460455","Avengers r back","3.1.6","3","It’s been 4 months and no iPhone X support.... pls come out with an iPhone X support now at least.",2018-02-12 01:53:48
"Please update for Face ID and iPhone X","https://itunes.apple.com/in/reviews/id142278927","Survivor1984","3.1.6","2","Please update for Face ID and iPhone X",2018-01-22 03:08:07
"Poor features and functionality","https://itunes.apple.com/in/reviews/id189279318","GauravBhardwaj","3.1.6","1","How can SC even put up this caliber of an App. This is a classic check in the box App, which pretty much does nothing other than account balance and transfer. Leaves a lot to be desired from this so called banking App. Look around, see what other banks are doing..reality check required!",2018-01-19 08:06:13
"Payment through QR Code does not work properly","https://itunes.apple.com/in/reviews/id469003527","Asgedhskedbskaggsbd sjhvhshvv","3.1.6","1","This application does not support all the bharat QR CODE. I have raised the complaint multiple times over the email along with the screenshot of error code and the qr codes but still no resolution has been provided. Much better applications available for making payments through qr code. Disappointed with the customer service.",2018-01-12 14:25:26
"Lagging","https://itunes.apple.com/in/reviews/id189118228","Anush karira","3.1.6","1","Too much lag in the app 
The app UI is too confusing",2018-01-11 16:15:47
"Getting exceptions","https://itunes.apple.com/in/reviews/id687468652","Pavan Behara","3.1.5","3","Getting exceptions for Uber payments",2017-12-30 10:37:28
"Frauds","https://itunes.apple.com/in/reviews/id635033251","sam khazi","3.1.3","1","These guys are frauds they are deducting our cash from our account for no reasons f**k this bank 
Plzzzz guys I humbly request you that don’t open any type of account in this server",2017-12-04 16:52:04
"Not able to add touch id for login","https://itunes.apple.com/in/reviews/id525587272","thanseermh","3.1.3","4","When i try to enable touch id login app shows the message “you have reached the maximum number of devices enabled for touch id login. To enable touch id on this device please disable touch id on a previously registered device”. 
Please give a solution to this issue.",2017-11-02 08:58:11
"Improve OTP entry window","https://itunes.apple.com/in/reviews/id400456520","Sankets25","3.1.3","2","Please improve OTP entry window",2017-11-02 05:06:46
"QR code option is asking too many confirmations","https://itunes.apple.com/in/reviews/id507493287","Siva SK","3.1.3","3","Minimise the number of confirmation steps while making payments using QR code",2017-10-22 15:53:53
"Not Optimized Well","https://itunes.apple.com/in/reviews/id551534603","Sky223223","3.1.2","2","What a shame when banks don’t have their apps optimized well.
Doesn’t even fit on the full screen on iPhone 7 Plus.",2017-10-21 23:06:48
"Useless and Poor designer app","https://itunes.apple.com/in/reviews/id567566613","Gaurav Kale","3.1.2","1","The app is so poorly designed, very poor and low level validations.. a 10 year kid can create more powerful app than this app..
It took more than 10 attempts to set up username password.. you dump developer, don’t you have a basic knowledge about developing and some validations ? 
Alpanumeric and all errors..!!
Totally frustrated..
Uninstalling this app and throwing back this credit card..",2017-10-11 14:20:04
"App only white screen","https://itunes.apple.com/in/reviews/id465179833","Msgiri","3.1.2","2","Hi SC, I've downloaded mobile banking app but while trying to logging in only white screen is appearing nothing is showing more than that.. Pls help me out",2017-09-24 16:30:19
"Smooth app","https://itunes.apple.com/in/reviews/id452710763","Hamer46","3.1.2","4","I would've given 5 stars if this app has the ability of adding beneficiary",2017-09-13 23:03:21
"Very nice app","https://itunes.apple.com/in/reviews/id483765911","Manjunatha BR","3.1.1","5","Very useful and fantastic app ever seen in banking app",2017-09-05 11:54:22
"This update is very buggy","https://itunes.apple.com/in/reviews/id501471408","Harendra tiwari","3.0.2","1","not working properly.",2017-08-19 22:42:07
"Error while updating details","https://itunes.apple.com/in/reviews/id384236908","Praneeth sontha","2.9.0","2","I have tried to update the Aadhar details through app, the app gets crashed while uploading/ taking a pic. Need an update",2017-08-05 17:53:20
"App getting crashed while saving aadhar","https://itunes.apple.com/in/reviews/id274357740","sandy-)","2.9.0","2","App getting crashed while saving aadhar",2017-08-05 10:07:39
"Crash","https://itunes.apple.com/in/reviews/id598930726","nitusingh","2.9.0","3","App getting crashed while updating Aadhar card details",2017-08-04 14:52:01
"UPI option missing","https://itunes.apple.com/in/reviews/id397702455","Sunny Salaria","2.8.0","2","I am not able to find UPI option in app.",2017-07-10 20:47:25
"App look like a browser","https://itunes.apple.com/in/reviews/id443728285","Ba saravanan","2.7.8","2","This like only a browser.. 
no future. Pls improve the app look lk another bank",2017-06-18 04:05:15
"Useless update","https://itunes.apple.com/in/reviews/id332538388","Pb1405","2.7.8","1","App not working in my iphone 4 after the update",2017-06-11 18:38:09
"OTP section touch problem","https://itunes.apple.com/in/reviews/id435121807","NitinMalik123","2.7.6","3","App has become good after frequent updates. But i face problem while doing transfers and other transactions in entering otp . The touch doesn't work properly in that section. I have to tap 3 4 times to show keyboard and enter otp.",2017-06-01 06:53:31
"Application not working","https://itunes.apple.com/in/reviews/id527597826","Tevatia13","2.7.7","1","App unable to install after last update.Please fix.",2017-05-03 06:57:08
"App is not opening","https://itunes.apple.com/in/reviews/id513172079","vikxi","2.7.7","1","After the latest update app is not even opening. I tried reinstalling it but no luck.
Try fixing it plz.",2017-05-02 01:33:04
"Very good","https://itunes.apple.com/in/reviews/id328591431","Shraddha-ja","2.7.7","5","Gr8 app.. problem with otp .. after receiving OTP ... it takes quite a long time to open next page to enter OTP",2017-04-30 18:01:37
"Super fast Super quick Touch ID feature","https://itunes.apple.com/in/reviews/id322388277","Jose6377","2.7.6","5","Super easy and best user experience",2017-04-23 11:38:17
"Unable to activate Touch ID","https://itunes.apple.com/in/reviews/id272265039","Ocserksjfj","2.7.6","1","I tried several times to activate the Touch ID but it just doesn't work..!",2017-04-22 12:40:18
"App white screen not opening on IOS 7","https://itunes.apple.com/in/reviews/id396935425","Sekarbeess","2.7.5","1","App not opening on IOS 7 from last two updates...",2017-03-27 07:53:02
"App doesn't load, white screen remains still.","https://itunes.apple.com/in/reviews/id235715362","Lijooo12","2.7.5","1","Not able to open in ios 7",2017-03-26 11:05:03
"App doesn't load on iOS 7","https://itunes.apple.com/in/reviews/id288984573","Jnksks","2.7.5","1","Upon opening the app only a blank white screen is seen.",2017-03-23 15:56:23
"Not opening on IOS7. Even not on previous version of this app","https://itunes.apple.com/in/reviews/id188131771","Bkodee","2.7.5","1","Not opening on IOS7. Even not on previous version of this app",2017-03-23 06:16:32
"iPhone 4 Users DON'T Update","https://itunes.apple.com/in/reviews/id188014328","Firdaus Mehta","2.7.3","1","iPhone 4 users Please DON'T Update.. I recently updated the app on my iPhone 4 (iOS 7.1.2) & the app stopped working :( 
I am stuck.. The developers are not bothered & not doing anything about this issue.. I complained previously also..
SCB Developers check & rectify the issue ASAP.",2017-03-05 16:04:36
"Excellent","https://itunes.apple.com/in/reviews/id527540006","Gaurav Jaidka","2.7.3","5","Best banking app ever",2017-03-04 05:04:56
"Pretty User Friendly","https://itunes.apple.com/in/reviews/id457343972","Ashish2808","2.6.5","5","Use this for quick transfers and checking latest transaction history!",2017-02-17 11:41:02
"Bugs/Issues","https://itunes.apple.com/in/reviews/id446708649","nayaksovan","2.7.1","3","There's no ""Forgot Password"" option. Have to use a laptop/desktop for it.
The calendar is also malfunctioning. The option to go to previous month is not visible. 

An option for reminders for bill payment would be handy.",2017-02-16 17:39:14
"Awesome app","https://itunes.apple.com/in/reviews/id499643620","raviteja.953","2.7.1","4","Really love the app. But need some improvements,

1. Introduce UPI Transfer in the app.

2. While making a transaction it is asking for OTP, but the OTP box would be in the top and submit will be in bottom. Why can't you change the OTP entering box to bottom near submit button.
3.An option to change ATM pin
4. An option to Change personal details like phone number, address.",2017-02-12 03:21:02
"Usage Time","https://itunes.apple.com/in/reviews/id366529609","--ENLIGHTENED--","2.7.1","4","The usage time displayed after a user logs off is always same ie 5 mins irrespective of the real usage time",2017-02-11 11:58:39
"Good app, Face ID missing though","https://itunes.apple.com/in/reviews/id437465993","djiablo","3.3.0","3","This is a good enough app for tracking your account/s, been using it for a long time. Touch ID was too convenient a feature on previous generations. Although addition of Face ID would be a great addition in the features list.",2018-05-02 21:51:10
"Face id open error in iphone x","https://itunes.apple.com/in/reviews/id349650076","Phne 4s","3.3.0","1","There is serious issue while opening the app with face id as well as by password 
Its just rolling and not able to open kindly do needful on urgent basis as its creating serious issue while transact",2018-05-01 13:17:36
"It’s not Breeze. It’s Bizarre...","https://itunes.apple.com/in/reviews/id453103881","Sudhansu@leadics","3.3.0","1","You guys should really work on this. The worst banking app I ever seen. No proper error msg no proper msg to user what is going on. Sometimes its login sometimes its showing 2154 error though I used correct user id and pwd. Some time its just loading.. it’s really bizarre.",2018-05-01 07:37:44
"Good app with options but time for upgrade","https://itunes.apple.com/in/reviews/id169230792","pdhakshinamoorthy","3.3.0","3","I like the usability of the app but it’s still old fashioned. The app can really take advantage of some ios native functionalities and please add support for iphoneX",2018-05-01 04:47:48
"Very worst UI","https://itunes.apple.com/in/reviews/id299527928","nonamefor review","3.2.9","1","The ui is not responding most of the time. You can’t even enter the amount some time.",2018-04-25 14:59:16
"Way too slow","https://itunes.apple.com/in/reviews/id507991911","Chhama","3.2.9","2","The app is slower than other mobile banking apps.",2018-04-25 08:02:01
"Display","https://itunes.apple.com/in/reviews/id766401499","raghusrini","3.2.8","1","It is not showing anything just loading loading loading, please let me know how to solve",2018-04-23 20:51:33
"UNABLE TO LOGIN VIA TOUCH ID","https://itunes.apple.com/in/reviews/id541988920","Ssingh1670","3.2.8","1","After latest update it is not allowing me to login via Touch ID. Please take this on priority and set this up ASAP Very irritating it is. 

And besides that when are you enabling your mobile/ debit or credit cards to Apple wallet unlike HDFC. They have enabled this quite sometime earlier whereas SC BANK is supposed to be more smarter I believe",2018-04-21 18:57:52
"Worst interface app","https://itunes.apple.com/in/reviews/id465450113","Smart RB","3.2.8","1","No update development,, what we paid we don’t know , what we have the balance don’t know,, worst experience ,,",2018-04-21 06:31:07
"No option to see reward points","https://itunes.apple.com/in/reviews/id498465509","muneesh chauhan","3.2.8","1","There is no option to check rewards points in app. Whenever I tried on web it always shows 360 rewards is temporary unavailable.",2018-04-18 04:46:40
"Customer","https://itunes.apple.com/in/reviews/id288130968","khanhirawasim","3.2.7","1","I don’t know why you people change user interface and add something extra there’s no option to check available credit card limit and the worst thing is payment update 
Usually bank update the payment at a time if I pay my credit card outstanding from same bank account but today I have spoken with your customer care and they said your payment will update 1 working day. 
Worst banking system from world’s leading Bank",2018-03-25 08:12:51
"iPhone X support","https://itunes.apple.com/in/reviews/id305460455","Avengers r back","3.1.6","3","It’s been 4 months and no iPhone X support.... pls come out with an iPhone X support now at least.",2018-02-12 01:53:48
"Please update for Face ID and iPhone X","https://itunes.apple.com/in/reviews/id142278927","Survivor1984","3.1.6","2","Please update for Face ID and iPhone X",2018-01-22 03:08:07
"Poor features and functionality","https://itunes.apple.com/in/reviews/id189279318","GauravBhardwaj","3.1.6","1","How can SC even put up this caliber of an App. This is a classic check in the box App, which pretty much does nothing other than account balance and transfer. Leaves a lot to be desired from this so called banking App. Look around, see what other banks are doing..reality check required!",2018-01-19 08:06:13
"Payment through QR Code does not work properly","https://itunes.apple.com/in/reviews/id469003527","Asgedhskedbskaggsbd sjhvhshvv","3.1.6","1","This application does not support all the bharat QR CODE. I have raised the complaint multiple times over the email along with the screenshot of error code and the qr codes but still no resolution has been provided. Much better applications available for making payments through qr code. Disappointed with the customer service.",2018-01-12 14:25:26
"Lagging","https://itunes.apple.com/in/reviews/id189118228","Anush karira","3.1.6","1","Too much lag in the app 
The app UI is too confusing",2018-01-11 16:15:47
"Getting exceptions","https://itunes.apple.com/in/reviews/id687468652","Pavan Behara","3.1.5","3","Getting exceptions for Uber payments",2017-12-30 10:37:28
"Frauds","https://itunes.apple.com/in/reviews/id635033251","sam khazi","3.1.3","1","These guys are frauds they are deducting our cash from our account for no reasons f**k this bank 
Plzzzz guys I humbly request you that don’t open any type of account in this server",2017-12-04 16:52:04
"Not able to add touch id for login","https://itunes.apple.com/in/reviews/id525587272","thanseermh","3.1.3","4","When i try to enable touch id login app shows the message “you have reached the maximum number of devices enabled for touch id login. To enable touch id on this device please disable touch id on a previously registered device”. 
Please give a solution to this issue.",2017-11-02 08:58:11
"Improve OTP entry window","https://itunes.apple.com/in/reviews/id400456520","Sankets25","3.1.3","2","Please improve OTP entry window",2017-11-02 05:06:46
"QR code option is asking too many confirmations","https://itunes.apple.com/in/reviews/id507493287","Siva SK","3.1.3","3","Minimise the number of confirmation steps while making payments using QR code",2017-10-22 15:53:53
"Not Optimized Well","https://itunes.apple.com/in/reviews/id551534603","Sky223223","3.1.2","2","What a shame when banks don’t have their apps optimized well.
Doesn’t even fit on the full screen on iPhone 7 Plus.",2017-10-21 23:06:48
"Useless and Poor designer app","https://itunes.apple.com/in/reviews/id567566613","Gaurav Kale","3.1.2","1","The app is so poorly designed, very poor and low level validations.. a 10 year kid can create more powerful app than this app..
It took more than 10 attempts to set up username password.. you dump developer, don’t you have a basic knowledge about developing and some validations ? 
Alpanumeric and all errors..!!
Totally frustrated..
Uninstalling this app and throwing back this credit card..",2017-10-11 14:20:04
"App only white screen","https://itunes.apple.com/in/reviews/id465179833","Msgiri","3.1.2","2","Hi SC, I've downloaded mobile banking app but while trying to logging in only white screen is appearing nothing is showing more than that.. Pls help me out",2017-09-24 16:30:19
"Smooth app","https://itunes.apple.com/in/reviews/id452710763","Hamer46","3.1.2","4","I would've given 5 stars if this app has the ability of adding beneficiary",2017-09-13 23:03:21
"Very nice app","https://itunes.apple.com/in/reviews/id483765911","Manjunatha BR","3.1.1","5","Very useful and fantastic app ever seen in banking app",2017-09-05 11:54:22
"This update is very buggy","https://itunes.apple.com/in/reviews/id501471408","Harendra tiwari","3.0.2","1","not working properly.",2017-08-19 22:42:07
"Error while updating details","https://itunes.apple.com/in/reviews/id384236908","Praneeth sontha","2.9.0","2","I have tried to update the Aadhar details through app, the app gets crashed while uploading/ taking a pic. Need an update",2017-08-05 17:53:20
"App getting crashed while saving aadhar","https://itunes.apple.com/in/reviews/id274357740","sandy-)","2.9.0","2","App getting crashed while saving aadhar",2017-08-05 10:07:39
"Crash","https://itunes.apple.com/in/reviews/id598930726","nitusingh","2.9.0","3","App getting crashed while updating Aadhar card details",2017-08-04 14:52:01
